COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,DEN_PROV,DEN_CM,DEN_UTS,SIGLA,TIPO_UTS,DEN_REG,DEN_RIP
1,1,2,0,2,2031,002031,Caresanablot,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2032,002032,Carisio,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2033,002033,Casanova Elvo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2035,002035,San Giacomo Vercellese,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2041,002041,Cervatto,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2042,002042,Cigliano,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2043,002043,Civiasco,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2045,002045,Collobiano,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2047,002047,Costanzana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2048,002048,Cravagliana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2049,002049,Crescentino,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2052,002052,Crova,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2054,002054,Desana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2057,002057,Fobello,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2058,002058,Fontanetto Po,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2059,002059,Formigliana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2061,002061,Gattinara,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2062,002062,Ghislarengo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2065,002065,Greggio,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2066,002066,Guardabosone,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2067,002067,Lamporo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2068,002068,Lenta,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2070,002070,Lignana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2071,002071,Livorno Ferraris,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2072,002072,Lozzolo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2078,002078,Mollia,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2079,002079,Moncrivello,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2082,002082,Motta de' Conti,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2088,002088,Olcenengo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2089,002089,Oldenico,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2090,002090,Palazzolo Vercellese,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2091,002091,Pertengo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2093,002093,Pezzana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2096,002096,Pila,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2097,002097,Piode,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2102,002102,Postua,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2104,002104,Prarolo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2107,002107,Quarona,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2108,002108,Quinto Vercellese,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2110,002110,Rassa,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2113,002113,Rimella,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2115,002115,Rive,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2116,002116,Roasio,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2118,002118,Ronsecco,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2121,002121,Rossa,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2122,002122,Rovasenda,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2126,002126,Salasco,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2127,002127,Sali Vercellese,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2128,002128,Saluggia,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2131,002131,San Germano Vercellese,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2133,002133,Santhià,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2134,002134,Scopa,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2135,002135,Scopello,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2137,002137,Serravalle Sesia,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2142,002142,Stroppiana,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2147,002147,Tricerro,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2148,002148,Trino,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2150,002150,Tronzano Vercellese,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2152,002152,Valduggia,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2156,002156,Varallo,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2158,002158,Vercelli,,1,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2163,002163,Villarboit,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2164,002164,Villata,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2166,002166,Vocca,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2170,002170,Alto Sermenza,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,2,0,2,2171,002171,Cellio con Breia,,0,Vercelli,-,Vercelli,VC,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3001,003001,Agrate Conturbia,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3002,003002,Ameno,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3006,003006,Armeno,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3008,003008,Arona,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3012,003012,Barengo,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3016,003016,Bellinzago Novarese,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3018,003018,Biandrate,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3019,003019,Boca,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3021,003021,Bogogno,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3022,003022,Bolzano Novarese,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3023,003023,Borgolavezzaro,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3024,003024,Borgomanero,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3025,003025,Borgo Ticino,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3026,003026,Briga Novarese,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3027,003027,Briona,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3030,003030,Caltignaga,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3032,003032,Cameri,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3036,003036,Carpignano Sesia,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3037,003037,Casalbeltrame,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3039,003039,Casaleggio Novara,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3040,003040,Casalino,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3041,003041,Casalvolone,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3042,003042,Castellazzo Novarese,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3043,003043,Castelletto sopra Ticino,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3044,003044,Cavaglietto,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3045,003045,Cavaglio d'Agogna,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3047,003047,Cavallirio,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3049,003049,Cerano,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3051,003051,Colazza,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3052,003052,Comignago,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3055,003055,Cressa,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3058,003058,Cureggio,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3060,003060,Divignano,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3062,003062,Dormelletto,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3065,003065,Fara Novarese,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3066,003066,Fontaneto d'Agogna,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3068,003068,Galliate,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3069,003069,Garbagna Novarese,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3070,003070,Gargallo,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3073,003073,Ghemme,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3076,003076,Gozzano,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3077,003077,Granozzo con Monticello,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3079,003079,Grignasco,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3082,003082,Invorio,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
1,1,3,0,3,3083,003083,Landiona,,0,Novara,-,Novara,NO,Provincia,Piemonte,Nord-Ovest
